SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
524324,SEYAIND     ,B ,Q,638.35,638.35,611.05,627.70,626.00,621.60,161,15107,9434591.00,
524330,JAYANT AGRO ,B ,Q,338.40,348.00,334.10,340.75,345.00,340.55,318,10518,3546302.00,
524332,BCLIL       ,X ,Q,146.70,151.00,145.00,147.80,148.50,144.95,252,29024,4282736.00,
524336,SH.HARI CHEM,X ,Q,37.50,38.00,37.50,38.00,38.00,35.50,5,510,19280.00,
524342,INDOBORAXC  ,X ,Q,544.00,544.00,515.00,522.20,523.00,542.00,50,1722,897357.00,
524348,AARTI DRUGS ,B ,Q,564.15,594.00,564.15,584.05,581.30,559.90,203,2410,1410028.00,
524370,BODAL CHEM  ,B ,Q,138.85,141.80,136.50,139.85,139.00,139.85,894,75369,10437322.00,
524372,ORCHIDPHAR  ,Z ,Q,12.50,12.90,12.15,12.75,12.40,12.35,111,24543,310170.00,
524394,VIMTA LABS  ,T ,Q,190.35,196.50,190.30,190.30,190.30,195.00,7,154,29735.00,
524396,BIOFIL CHEM ,T ,Q,14.50,15.30,14.50,15.30,15.30,14.65,5,1582,23061.00,
524400,ISHITA DRUGS,XT,Q,21.80,21.80,21.80,21.80,21.80,22.30,1,50,1090.00,
524404,MARKSANS    ,A ,Q,35.20,35.20,34.35,34.85,34.85,34.85,517,177345,6175135.00,
524408,UNIV.STARCH ,XT,Q,29.90,29.90,29.90,29.90,29.90,28.50,2,100,2990.00,
524412,AAREY DRUGS ,X ,Q,54.05,57.00,54.05,55.95,55.50,55.10,159,16422,923147.00,
524414,NORRIS MEDI.,XT,Q,21.30,21.30,21.30,21.30,21.30,20.29,9,1085,23110.00,
